ProductID,Product,Category,Stock,ReorderLevel,UnitPrice,Supplier
P101,Laptop,Electronics,25,10,55000,Dell
P102,Mouse,Accessories,120,30,500,Logitech
P103,Keyboard,Accessories,90,25,1200,Logitech
P104,Monitor,Electronics,40,15,15000,Samsung
P105,Printer,Office,18,8,18000,HP
P106,Desk Chair,Furniture,30,10,6500,Godrej
P107,Notebook,Stationery,300,100,80,Classmate
P108,Pen,Stationery,500,150,20,Reynolds
P109,Projector,Electronics,12,5,45000,Epson
P110,Router,Networking,45,15,3500,TP-Link
P111,SSD 1TB,Storage,35,10,7200,Kingston
P112,USB Drive,Storage,150,50,650,SanDisk
P113,Webcam,Accessories,28,10,2800,Logitech
P114,Headphones,Accessories,75,20,2500,Sony
P115,UPS,Power,20,8,9000,APC
